,0,1
0,4.790787,7.5908594
1,5.1084003,8.543475
2,6.3544526,6.722846
3,8.249093,9.803859
4,11.649355,6.530793
5,7.0232444,4.779459
6,6.233196,6.7216344
7,2.3318572,10.135858
8,4.2242284,4.5528936
9,4.5219245,9.465519
10,2.3467226,8.993742
11,4.6934667,4.825837
12,1.6868936,9.222302
13,3.5558364,5.2719483
14,12.404969,6.795043
15,1.1895337,9.488517
16,4.5432625,11.40971
17,1.6985283,16.878351
18,3.904396,10.310402
19,5.91414,5.7734494
20,7.856334,10.407681
21,5.3819165,10.501617
22,6.528696,6.791648
23,7.9382668,10.451214
24,6.92688,8.738212
25,7.4845676,5.3093243
26,5.5729175,10.710436
27,5.047675,10.177794
28,10.071157,5.2967157
29,2.2510464,7.1939573
30,11.108288,6.3010526
31,12.464457,5.030263
32,7.1495233,8.536031
33,9.772937,4.413412
34,6.3867893,0.99309164
35,3.7812843,11.847225
36,5.317842,8.284164
37,0.72621393,9.049116
38,3.3699236,10.798966
39,3.534296,9.988509
40,0.7818865,6.7994742
41,3.3369439,9.582978
42,3.5234537,10.67216
43,5.0994325,12.279607
44,19.890278,6.598031
45,1.5893112,10.811561
46,1.5534651,11.006966
47,4.1800447,4.1658573
48,0.20410998,10.304165
49,7.680798,5.774946
50,1.9035699,13.47299
51,12.511495,5.056706
52,7.7944713,5.2510743
53,4.823165,4.785147
54,0.6523468,8.569579
55,0.68113506,6.7686234
56,5.993623,6.693906
57,0.70387655,9.057893
58,-0.3810771,9.136401
59,3.599225,8.82089
60,0.19434534,8.547768
61,4.1762114,4.828423
62,2.4045155,9.956864
63,16.979866,5.7851367
64,2.233489,6.3461113
65,9.289178,9.005672
66,5.2534046,10.955135
67,5.579666,8.358976
68,4.2256427,10.165951
69,1.6588436,14.515501
70,2.828167,-13.685349
71,10.671386,7.4232135
72,7.9868374,11.282914
73,18.238615,3.0788395
74,5.822414,9.270926
75,8.000734,10.230672
76,4.0117517,7.6375318
77,3.333797,6.7151136
78,1.5232849,14.521368
79,17.01921,3.126848
80,0.5562406,9.996926
81,2.3894966,8.522124
82,3.4716468,8.287669
83,1.0497301,6.98572
84,6.992112,12.309441
85,1.5240914,8.275527
86,9.367549,3.2705445
87,-0.38334182,12.329055
88,3.6666193,4.9450674
89,12.486158,5.020771
90,11.749345,6.387659
91,2.1325853,6.1533904
92,5.261259,8.727198
93,2.1376157,6.898847
94,7.0354943,5.309067
95,0.36164135,12.161703
96,6.0147467,10.221995
97,5.0238366,9.747171
98,4.8757987,9.556055
99,1.8098207,7.8338623
100,8.070284,7.2012916
101,22.378973,5.8806095
102,23.611248,2.9231493
103,22.408987,3.5644555
104,24.054115,3.5638702
105,20.283484,7.831251
106,24.101086,2.4095333
107,25.51949,2.8714497
108,22.84029,7.7239985
109,21.603401,0.3850606
110,23.270184,0.47545728
111,19.961454,4.451163
112,17.968735,1.4081208
113,21.237495,1.9079853
114,19.628124,2.845442
115,20.797142,5.185112
116,24.24944,0.63252336
117,25.382662,1.4879391
118,15.87993,9.372236
119,23.67806,1.5664502
120,17.923203,4.1420865
121,15.906563,8.960294
122,21.856468,-0.50632226
123,23.536749,6.4289827
124,21.880573,-0.86121345
125,22.324614,6.2200418
126,19.758694,1.0600282
127,23.461443,6.0930457
128,18.876259,5.2993774
129,23.3427,-0.49834198
130,21.620737,2.4924033
131,18.610907,0.058941986
132,20.52317,4.2601533
133,20.188871,-0.8456128
134,19.731115,1.412635
135,20.06361,4.080542
136,18.45343,1.0787382
137,24.831789,6.026859
138,21.188704,1.5991707
139,23.883669,1.4031904
140,26.300087,1.5639541
141,19.697777,1.3752233
142,20.738083,2.0872815
143,17.82579,-0.8450713
144,15.63272,-0.7827135
145,17.748533,2.4100134
146,23.400791,2.0670192
147,24.545586,4.926799
148,23.218317,3.632648
149,21.990393,3.0513616
150,25.750301,4.7608743
151,20.664156,0.8880325
152,22.954784,5.357199
153,17.462683,5.5117073
154,21.186768,3.745113
155,22.750467,2.46545
156,24.614532,4.5653076
157,19.71855,3.2133856
158,23.68599,4.398805
159,23.33728,2.0458922
160,19.71013,5.3503356
161,21.219713,5.73252
162,19.872498,3.8285353
163,22.69285,4.825707
164,23.21307,-2.169618
165,24.743397,1.4556421
166,23.40981,1.0188645
167,22.337543,1.4017146
168,16.14624,0.99685085
169,15.934163,1.1757423
170,18.014975,4.1283507
171,20.514233,-0.5058386
172,25.639307,2.8946671
173,23.680143,5.1953015
174,25.347971,0.2990761
175,18.55653,2.033155
176,22.373945,0.6359195
177,18.359772,5.6136627
178,16.089556,7.387467
179,22.89132,4.679689
180,22.328083,4.8971376
181,23.717644,0.12000004
182,19.193327,4.822837
183,21.68758,1.0058583
184,25.630682,1.5204414
185,22.135313,4.029494
186,21.06989,4.641421
187,21.159456,1.8546301
188,19.54333,1.0540216
189,20.93093,4.3647966
190,20.390995,7.073262
191,24.688116,2.7373316
192,18.765726,3.2946146
193,21.554853,6.7546577
194,25.716074,4.715218
195,19.96399,1.9178209
196,25.708902,0.215858
197,21.626524,5.1562796
198,22.276554,5.5079665
199,21.221413,3.283808
200,16.690289,12.822099
201,16.583918,11.918916
202,16.3146,11.66863
203,17.378567,11.6657095
204,17.741758,11.830988
205,17.650122,14.06005
206,16.701033,12.833633
207,19.187124,12.425368
208,19.320642,12.719313
209,17.160315,9.933568
210,16.660439,10.147884
211,19.560984,15.546424
212,15.237576,10.469563
213,20.518867,12.563474
214,17.825752,13.567387
215,16.636509,11.991947
216,19.463543,15.613815
217,17.098398,9.372859
218,12.080258,12.515163
219,15.251619,12.438578
220,20.836067,12.510209
221,17.064123,13.709166
222,15.696005,12.725025
223,15.404908,10.8600025
224,14.731713,16.439499
225,18.45502,10.071192
226,17.473356,10.032682
227,14.0708885,13.514551
228,14.585573,12.768187
229,14.779737,13.283439
230,14.58241,13.2383
231,13.65885,14.613342
232,16.086819,15.49932
233,17.835238,17.49242
234,14.4791155,9.675221
235,15.9214,12.477917
236,16.556822,17.376978
237,17.299454,16.94178
238,16.431347,17.238129
239,15.06614,16.03554
240,16.432503,17.96035
241,15.289054,13.271045
242,14.976728,14.766284
243,15.59639,14.495296
244,16.855719,14.5863695
245,12.583288,15.896922
