d1,d2,d3,l
66,160,157,0
66,162,159,0
66,164,160,0
67,167,154,0
65,133,201,0
66,162,160,0
67,156,149,0
67,159,147,0
67,159,190,0
67,146,188,0
67,145,189,0
66,137,193,0
66,150,200,0
66,153,200,0
67,145,200,0
65,140,190,0
64,131,169,0
66,124,168,0
66,162,190,0
68,146,168,0
67,134,167,0
66,151,194,0
67,170,176,0
66,137,180,0
66,145,199,0
61,130,232,0
66,155,160,0
67,153,191,0
62,131,216,0
67,148,158,0
66,163,151,0
68,155,158,0
68,146,155,0
68,153,190,0
66,153,157,0
67,152,170,0
67,151,153,0
66,162,162,0
66,146,182,0
68,155,161,0
68,169,179,0
67,165,186,0
66,153,202,0
67,160,187,0
66,137,191,0
67,163,150,0
67,160,178,0
67,155,187,0
67,166,190,0
67,153,149,0
66,166,191,0
67,161,187,0
66,142,187,0
64,129,179,0
66,157,161,0
66,162,191,0
65,133,174,0
66,151,155,0
67,155,194,0
66,152,198,0
66,158,190,0
67,156,149,0
68,149,166,0
67,150,191,0
67,166,155,0
66,154,197,0
65,167,148,0
67,157,156,0
67,153,152,0
67,154,159,0
67,164,159,0
65,162,153,0
67,137,169,0
66,158,151,0
68,163,161,0
67,164,152,0
66,152,181,0
66,135,196,0
66,161,198,0
65,155,188,0
67,167,191,0
67,169,152,0
67,151,184,0
66,158,160,0
66,157,187,0
67,162,191,0
67,167,156,0
66,163,160,0
67,158,158,0
67,156,160,0
67,154,190,0
67,163,158,0
68,156,161,0
66,139,190,0
65,138,184,0
65,136,187,0
68,143,170,0
68,151,154,0
66,149,197,0
67,157,195,0
67,153,148,0
62,125,239,0
66,156,150,0
66,161,199,0
67,148,157,0
62,129,223,0
67,153,148,0
67,151,193,0
66,137,194,0
66,153,197,0
66,165,150,0
66,163,159,0
67,152,179,0
67,154,174,0
68,156,160,0
68,148,165,0
66,163,161,0
62,132,238,0
67,155,180,0
66,158,182,0
66,141,186,0
66,160,161,0
67,154,171,0
67,152,169,0
66,151,201,0
66,140,197,0
66,153,201,0
67,149,199,0
66,151,195,0
68,153,158,0
67,152,184,0
65,143,186,0
68,159,172,0
65,135,193,0
67,161,197,0
68,157,159,0
66,161,191,0
66,135,196,0
68,160,157,0
64,152,202,0
64,148,202,0
64,146,202,0
66,157,183,0
65,143,196,0
67,151,193,0
66,139,193,0
67,129,216,0
65,156,153,0
68,158,168,0
68,156,168,0
68,171,187,0
66,162,156,0
65,138,192,0
65,142,190,0
63,142,205,0
67,150,156,0
68,159,161,0
67,141,164,0
67,149,157,0
66,157,159,0
67,158,190,0
66,160,172,0
65,148,196,0
66,153,168,0
67,151,210,0
66,161,196,0
67,164,184,0
68,150,156,0
67,143,202,0
67,160,156,0
66,151,203,0
68,153,162,0
66,154,156,0
66,152,164,0
67,154,167,0
64,145,200,0
68,158,167,0
67,146,190,0
68,160,159,0
66,151,192,0
66,154,191,0
68,161,159,0
67,155,181,0
66,156,194,0
64,158,199,0
67,155,161,0
66,160,191,0
66,152,154,0
66,146,191,0
67,162,198,0
68,159,152,0
67,161,190,0
67,151,154,0
67,158,168,0
66,163,153,0
63,148,201,0
65,147,199,0
67,141,164,0
67,145,156,0
67,149,156,0
66,151,193,0
67,149,151,0
68,156,167,0
67,162,153,0
67,152,190,0
66,161,154,0
66,149,158,0
66,164,157,0
67,155,150,0
66,158,191,0
68,159,160,0
63,146,201,0
67,158,158,0
67,154,162,0
66,154,191,0
66,157,161,0
67,155,167,0
67,165,185,0
67,160,186,0
67,148,159,0
67,170,178,0
66,153,188,0
66,160,194,0
66,152,189,0
66,162,154,0
101,20,238,1
90,16,225,1
107,28,255,1
98,19,204,1
105,24,193,1
104,22,187,1
102,23,251,1
95,16,192,1
93,15,191,1
105,24,250,1
101,20,196,1
87,13,190,1
109,28,238,1
95,17,183,1
104,26,252,1
95,22,192,1
107,27,249,1
95,19,226,1
95,17,230,1
95,15,184,1
98,15,191,1
107,25,196,1
87,14,187,1
95,16,188,1
95,19,201,1
95,15,191,1
95,17,199,1
95,17,195,1
99,19,255,1
98,17,229,1
100,23,239,1
101,18,221,1
90,17,225,1
95,15,191,1
103,26,250,1
95,15,228,1
98,15,191,1
93,14,183,1
101,19,229,1
95,17,200,1
95,17,225,1
104,21,233,1
109,25,246,1
102,23,243,1
104,21,228,1
105,26,250,1
107,20,236,1
90,16,191,1
101,18,197,1
106,23,242,1
95,19,231,1
101,19,227,1
102,23,240,1
95,15,228,1
104,21,234,1
95,16,205,1
98,18,208,1
92,17,226,1
101,18,210,1
98,15,191,1
95,15,226,1
101,21,230,1
102,24,237,1
105,21,237,1
101,24,203,1
101,21,196,1
93,17,181,1
95,18,188,1
104,26,255,1
109,25,245,1
103,26,245,1
87,16,188,1
105,21,233,1
95,15,184,1
95,18,195,1
105,19,201,1
101,22,220,1
101,24,205,1
95,16,189,1
103,29,255,1
95,15,205,1
95,17,226,1
111,23,245,1
106,26,255,1
90,16,191,1
95,15,192,1
95,20,230,1
90,14,225,1
106,23,241,1
90,14,223,1
105,22,237,1
102,22,255,1
102,26,215,1
95,17,231,1
90,16,189,1
106,23,239,1
87,14,182,1
35,15,231,1
38,12,230,1
90,17,183,1
102,26,223,1
101,19,228,1
104,25,194,1
35,9,229,1
95,20,190,1
93,17,179,1
93,16,177,1
102,23,239,1
93,17,180,1
93,15,183,1
101,17,221,1
104,21,226,1
95,14,226,1
95,18,215,1
51,8,229,1
42,6,222,1
106,24,236,1
95,15,225,1
101,19,228,1
85,17,183,1
83,4,236,1
83,4,238,1
95,16,190,1
95,17,183,1
108,40,239,1
105,20,225,1
95,15,226,1
96,14,182,1
83,5,216,1
98,15,183,1
83,5,218,1
85,17,183,1
85,16,189,1
98,20,193,1
95,22,195,1
90,16,189,1
66,11,237,1
103,18,224,1
95,17,192,1
104,16,203,1
105,21,240,1
95,17,226,1
95,15,208,1
101,21,237,1
105,21,238,1
85,14,221,1
105,19,201,1
95,15,202,1
87,14,185,1
85,16,186,1
95,14,204,1
101,15,224,1
90,17,183,1
85,14,221,1
95,16,191,1
105,22,235,1
90,16,191,1
108,19,227,1
102,31,191,1
85,17,182,1
101,22,195,1
101,22,196,1
101,15,222,1
90,14,226,1
66,11,236,1
105,20,231,1
101,23,191,1
104,25,193,1
102,24,231,1
85,16,191,1
87,13,191,1
106,23,242,1
85,16,192,1
95,14,199,1
95,15,203,1
90,16,191,1
109,10,209,1
95,17,223,1
30,2,255,1
109,28,220,1
101,19,226,1
109,28,220,1
87,17,179,1
106,23,239,1
87,17,183,1
30,2,255,1
95,17,192,1
30,2,255,1
105,22,229,1
105,21,238,1
95,15,229,1
109,28,216,1
95,17,224,1
104,21,232,1
95,16,231,1
95,14,221,1
95,16,189,1
105,22,236,1
95,22,234,1
85,17,176,1
105,20,239,1
101,19,229,1
105,20,231,1
30,2,255,1
102,23,239,1
105,19,235,1
87,13,179,1
95,16,189,1
106,26,219,1
110,36,244,1
85,17,176,1
87,15,175,1
95,16,177,1
95,15,225,1
101,17,227,1
110,38,244,1
95,15,220,1
105,21,232,1
108,18,229,1
95,14,214,1
107,36,244,1
101,23,238,1
90,16,188,1
30,2,255,1
90,17,180,1
38,138,204,2
37,130,198,2
38,131,246,2
38,129,244,2
38,129,244,2
38,133,195,2
38,130,241,2
38,138,242,2
37,126,236,2
38,136,247,2
38,123,188,2
38,139,242,2
38,141,241,2
38,136,244,2
38,127,241,2
38,134,242,2
37,137,255,2
38,129,246,2
38,125,198,2
38,135,193,2
38,124,249,2
38,139,238,2
37,129,199,2
38,142,235,2
38,134,252,2
38,135,249,2
38,130,253,2
38,133,197,2
38,136,244,2
38,135,194,2
38,127,255,2
38,139,241,2
38,128,198,2
38,133,197,2
38,137,246,2
37,132,255,2
38,131,244,2
37,128,255,2
38,135,191,2
38,138,190,2
38,137,244,2
38,139,243,2
38,124,240,2
38,138,242,2
38,138,204,2
38,138,231,2
38,136,231,2
38,126,199,2
37,133,196,2
38,145,241,2
39,140,251,2
38,128,196,2
38,131,200,2
38,138,241,2
38,133,203,2
38,139,238,2
37,129,236,2
38,131,199,2
38,126,195,2
38,137,230,2
38,127,197,2
38,136,246,2
38,126,240,2
38,133,197,2
38,137,244,2
37,138,189,2
38,137,197,2
38,139,245,2
38,133,198,2
38,131,199,2
38,137,246,2
38,139,239,2
38,137,246,2
38,143,243,2
39,137,252,2
38,137,237,2
38,132,191,2
38,138,200,2
38,120,199,2
38,135,204,2
38,136,246,2
37,129,199,2
38,128,248,2
38,129,203,2
38,128,195,2
38,133,190,2
38,138,192,2
38,138,200,2
38,133,192,2
38,137,244,2
38,136,191,2
38,131,199,2
38,137,246,2
38,134,252,2
37,132,240,2
37,132,236,2
38,133,194,2
38,133,196,2
38,133,195,2
37,133,215,2
40,126,237,2
38,140,200,2
38,141,251,2
38,132,198,2
38,131,199,2
38,140,239,2
37,138,255,2
37,144,254,2
38,137,245,2
40,133,240,2
38,142,244,2
38,133,196,2
38,131,206,2
36,155,255,2
39,118,205,2
38,134,252,2
38,140,255,2
38,139,219,2
38,140,198,2
38,131,196,2
37,130,234,2
36,153,255,2
36,150,253,2
37,141,255,2
38,143,235,2
38,128,193,2
36,152,255,2
36,121,210,2
36,145,255,2
37,140,254,2
38,139,244,2
38,136,205,2
38,127,201,2
38,134,205,2
38,129,201,2
39,134,246,2
39,136,248,2
38,140,239,2
38,137,241,2
34,134,255,2
38,139,255,2
39,120,196,2
39,124,201,2
38,138,240,2
39,118,197,2
38,141,224,2
39,137,230,2
39,116,205,2
39,138,229,2
38,133,197,2
38,135,198,2
38,140,202,2
38,136,247,2
36,131,233,2
38,143,230,2
38,136,228,2
38,136,255,2
35,153,253,2
40,126,236,2
38,121,210,2
38,141,249,2
38,123,211,2
38,118,208,2
39,136,255,2
39,141,200,2
38,133,252,2
38,127,189,2
38,131,201,2
39,129,237,2
38,130,240,2
38,136,203,2
38,137,197,2
38,138,199,2
38,131,200,2
38,135,208,2
37,129,235,2
38,120,253,2
38,135,214,2
38,139,220,2
38,131,237,2
37,135,230,2
38,132,214,2
38,133,218,2
38,134,228,2
37,134,228,2
37,137,236,2
38,140,236,2
38,128,194,2
37,127,197,2
38,144,232,2
36,125,255,2
38,141,191,2
38,137,239,2
30,60,255,2
38,141,237,2
38,133,195,2
38,133,218,2
39,116,255,2
37,129,235,2
38,130,216,2
38,138,248,2
38,139,239,2
38,140,239,2
38,135,239,2
38,126,209,2
38,133,196,2
38,124,194,2
38,140,236,2
37,131,198,2
38,131,194,2
38,141,239,2
38,139,244,2
36,127,255,2
38,140,234,2
38,138,241,2
39,134,211,2
36,120,255,2
37,113,255,2
30,88,255,2
38,139,239,2
37,139,253,2
30,126,255,2
37,139,238,2
38,137,244,2
39,129,241,2
2,221,151,3
3,192,169,3
4,203,201,3
2,190,125,3
3,207,119,3
2,219,149,3
1,193,147,3
4,220,197,3
3,190,163,3
3,222,145,3
3,201,119,3
2,181,137,3
2,207,110,3
3,181,137,3
3,229,137,3
3,218,139,3
3,211,138,3
1,216,139,3
3,232,134,3
3,190,160,3
2,201,119,3
3,201,119,3
3,207,123,3
3,219,142,3
1,203,135,3
3,196,122,3
4,217,206,3
3,204,122,3
3,190,147,3
2,189,120,3
2,179,160,3
3,192,145,3
3,190,162,3
3,189,137,3
3,201,123,3
2,217,154,3
3,199,123,3
3,196,125,3
4,197,155,3
2,201,119,3
3,186,169,3
3,207,116,3
3,204,120,3
2,201,117,3
3,204,120,3
3,200,157,3
3,219,164,3
3,222,147,3
2,209,151,3
2,220,153,3
3,207,118,3
2,187,134,3
3,226,150,3
2,188,132,3
2,178,153,3
3,206,120,3
2,189,127,3
3,199,123,3
3,197,123,3
4,184,154,3
3,195,159,3
2,196,132,3
2,209,160,3
2,192,130,3
3,203,123,3
3,200,153,3
3,207,154,3
2,188,121,3
3,185,154,3
2,201,117,3
2,200,116,3
2,185,144,3
3,232,145,3
2,202,115,3
3,200,158,3
3,210,156,3
3,204,121,3
3,208,151,3
3,199,150,3
2,181,141,3
3,205,117,3
2,222,145,3
4,208,159,3
2,182,122,3
3,206,157,3
3,207,154,3
3,201,117,3
3,204,115,3
4,194,167,3
3,201,150,3
2,196,122,3
3,198,120,3
2,201,119,3
2,190,114,3
3,207,116,3
3,216,168,3
4,194,170,3
3,195,125,3
3,194,112,3
3,195,155,3
3,194,158,3
3,216,111,3
3,188,158,3
4,219,205,3
2,202,166,3
2,201,119,3
3,207,116,3
2,219,154,3
2,205,122,3
2,169,164,3
3,208,119,3
2,222,147,3
3,205,154,3
2,188,123,3
3,204,120,3
2,173,136,3
3,192,125,3
