d1,d2,d3,l
111,53,173,1
103,10,226,1
114,77,221,1
103,9,234,1
103,10,225,1
107,20,230,1
114,79,232,1
110,20,232,1
112,62,187,1
116,17,224,1
110,43,241,1
112,17,223,1
111,19,244,1
113,56,254,1
111,14,229,1
112,17,228,1
110,46,255,1
111,14,223,1
112,52,255,1
96,6,217,1
110,46,255,1
111,22,236,1
103,11,218,1
110,63,191,1
96,6,215,1
111,13,229,1
108,20,227,1
113,20,231,1
96,6,218,1
113,18,232,1
103,33,255,1
110,45,255,1
111,22,235,1
114,41,174,1
114,74,213,1
110,35,236,1
101,9,221,1
107,37,255,1
108,42,253,1
96,6,207,1
110,53,170,1
111,39,175,1
103,8,216,1
112,47,173,1
110,20,233,1
106,12,227,1
103,29,255,1
110,20,225,1
107,42,246,1
103,9,223,1
108,57,172,1
111,11,225,1
37,133,247,2
37,119,204,2
36,122,201,2
37,129,243,2
37,126,251,2
37,132,249,2
37,135,245,2
37,133,247,2
37,128,234,2
37,134,223,2
37,129,219,2
37,129,243,2
37,134,224,2
38,132,252,2
37,133,242,2
39,151,221,2
37,129,219,2
39,136,231,2
37,128,234,2
37,118,236,2
36,129,234,2
39,163,245,2
37,133,245,2
37,132,242,2
37,133,247,2
37,130,224,2
41,136,172,2
37,130,225,2
37,129,242,2
41,154,136,2
36,127,227,2
36,127,235,2
37,130,237,2
38,132,253,2
41,136,173,2
38,167,255,2
37,134,234,2
41,141,184,2
37,128,239,2
37,130,232,2
37,132,245,2
36,119,232,2
37,130,227,2
39,164,237,2
39,165,228,2
41,150,135,2
37,126,248,2
36,127,241,2
37,125,240,2
36,129,232,2
37,133,239,2
39,152,255,2
37,117,224,2
38,131,251,2
37,134,240,2
36,129,233,2
37,131,234,2
37,131,247,2
41,133,174,2
38,130,248,2
37,130,248,2
37,126,239,2
41,136,175,2
37,126,240,2
37,129,235,2
37,124,232,2
39,149,243,2
36,133,227,2
37,134,241,2
36,130,231,2
37,130,243,2
37,132,245,2
37,134,247,2
37,134,239,2
36,123,237,2
37,133,229,2
36,134,225,2
36,135,227,2
37,128,238,2
37,128,253,2
41,135,178,2
37,126,241,2
37,125,242,2
37,126,238,2
37,129,239,2
37,129,236,2
37,128,237,2
37,134,223,2
37,128,236,2
37,131,240,2
37,135,244,2
36,131,235,2
37,130,238,2
