,0,1,data_order,label_order,labels
0,58.534374,15.087636,True,False,3
1,23.28373,2.8043401,True,False,0
2,21.672495,10.923441,True,False,0
3,-27.835546,11.586439,True,False,4
4,-5.4279757,-55.33796,True,False,1
5,-0.68929577,-51.710827,True,False,1
6,-12.130399,7.0940933,True,False,2
7,24.970327,7.0400047,True,False,0
8,-3.917532,-16.814037,True,False,5
9,-2.842807,26.06259,False,True,-1
10,-8.921859,-17.976126,False,True,-1
11,24.1672,2.4039931,False,True,-1
12,-19.953892,36.89645,False,True,-1
13,-27.260122,30.44282,False,True,-1
14,23.686094,7.404334,False,True,-1
15,49.882946,-7.864,False,True,-1
16,-25.501602,31.6801,False,True,-1
17,-1.4067041,-51.490654,False,True,-1
18,58.412468,14.883021,False,True,-1
19,23.381716,2.759176,False,True,-1
20,23.85227,11.213434,False,True,-1
21,-27.649221,11.246381,False,True,-1
22,-5.2175145,-55.18598,False,True,-1
23,-1.1048038,-52.427307,False,True,-1
24,-12.222077,5.7183385,False,True,-1
25,22.09268,8.050055,False,True,-1
26,-4.292107,-16.967285,False,True,-1
27,-2.8217156,25.403881,False,True,-1
28,-8.456482,-18.29952,False,True,-1
29,23.570158,3.2627122,False,True,-1
30,-19.659136,37.163208,False,True,-1
31,-27.149605,30.023645,False,True,-1
32,23.508175,7.1665373,False,True,-1
33,49.731243,-7.730445,False,True,-1
34,-25.234182,32.006474,False,True,-1
35,-1.2104688,-51.491238,False,True,-1
36,-11.243153,4.507463,False,True,-1
37,-6.210638,-59.20627,False,True,-1
38,-28.549025,17.125168,False,True,-1
39,-13.019554,5.2912064,False,True,-1
40,25.160112,-0.45244327,False,True,-1
41,-7.7785487,18.174109,False,True,-1
42,57.446655,17.964802,False,True,-1
43,-11.612516,11.765229,False,True,-1
44,-25.172918,26.323704,False,True,-1
45,5.6962857,-42.190525,False,True,-1
46,-46.481472,-7.288457,False,True,-1
47,23.870901,8.255937,False,True,-1
48,-20.299017,38.727,False,True,-1
49,-6.5191126,26.521648,False,True,-1
50,0.46203187,-44.468742,False,True,-1
51,12.083026,-46.589203,False,True,-1
52,51.993275,-3.4321966,False,True,-1
53,52.973095,1.1693163,False,True,-1
54,21.4299,7.1145797,True,False,0
55,-47.056362,-7.701174,True,False,3
56,-18.115543,36.952385,True,False,4
57,56.219585,4.911106,True,False,3
58,-25.51576,30.590603,True,False,4
59,25.087559,28.614151,True,False,0
60,-27.577461,21.1402,True,False,4
61,-25.515747,30.590597,True,False,4
62,-7.7008605,36.98249,True,False,2
63,-26.428776,-25.705614,False,True,-1
64,-13.630963,39.420876,False,True,-1
65,24.523952,25.420952,False,True,-1
66,-6.2186747,38.309265,False,True,-1
67,26.550983,30.46978,False,True,-1
68,-23.313519,-24.390907,False,True,-1
69,48.15782,-12.165208,False,True,-1
70,14.600618,-48.356556,False,True,-1
71,11.575732,-47.401234,False,True,-1
72,-27.021124,18.535187,False,True,-1
73,-13.491469,-17.620205,False,True,-1
74,-3.1913822,31.050756,False,True,-1
75,23.853912,9.598607,False,True,-1
76,-12.270514,-18.354013,False,True,-1
77,24.928902,28.397743,False,True,-1
78,7.357561,-16.240055,False,True,-1
79,53.77018,1.3387115,False,True,-1
80,25.44584,26.018637,False,True,-1
81,26.1318,31.332829,False,True,-1
82,14.398018,-48.056355,False,True,-1
83,-24.176157,-25.219772,False,True,-1
84,15.385996,-47.90553,False,True,-1
85,-6.2275014,38.288876,False,True,-1
86,-24.371157,-24.977806,False,True,-1
87,48.150738,-12.179025,False,True,-1
88,-13.4654875,39.67179,False,True,-1
89,49.2409,-10.528561,False,True,-1
90,-7.224212,-58.945263,False,True,-1
91,-26.866264,14.634259,False,True,-1
92,-29.248878,25.259481,False,True,-1
93,-9.559554,7.300721,False,True,-1
94,-6.5117173,-56.526657,False,True,-1
95,55.351185,1.4102995,False,True,-1
96,-12.112655,3.58064,False,True,-1
97,7.992625,-15.790451,False,True,-1
98,-2.5522244,-53.844162,False,True,-1
99,9.073692,-46.321865,False,True,-1
100,24.298166,16.1759,False,True,-1
101,-2.9320323,20.891672,False,True,-1
102,9.897049,-46.61659,False,True,-1
103,52.74058,-3.943008,False,True,-1
104,-3.4799066,22.763943,False,True,-1
105,49.906208,-9.404426,False,True,-1
106,-4.5902343,30.48095,False,True,-1
107,-6.2136602,-16.775652,False,True,-1
108,-9.211509,-58.495167,True,False,1
109,-26.734245,15.244068,True,False,4
110,-28.258083,20.853264,True,False,4
111,-27.73659,7.9764,True,False,4
112,-27.93676,15.913401,True,False,4
113,21.7131,8.857762,True,False,0
114,-11.749159,5.587877,True,False,2
115,55.86174,10.136773,True,False,3
116,-2.3650262,-16.794106,True,False,5
117,-21.988302,-24.205585,False,True,-1
118,3.5894182,-41.887302,False,True,-1
119,25.463163,17.686249,False,True,-1
120,50.241993,-9.4749565,False,True,-1
121,-4.319701,32.52896,False,True,-1
122,2.9961648,-46.96882,False,True,-1
123,11.898297,-47.86208,False,True,-1
124,-13.756354,-18.846369,False,True,-1
125,-6.4907775,-17.048891,False,True,-1
126,23.905827,-2.5586913,False,True,-1
127,23.434013,3.0378006,False,True,-1
128,56.22979,6.2165656,False,True,-1
129,57.21573,14.92018,False,True,-1
130,-6.332179,-55.869392,False,True,-1
131,-4.822779,20.537601,False,True,-1
132,11.504101,-17.294281,False,True,-1
133,-28.214762,14.148059,False,True,-1
134,-2.6460178,-54.773464,False,True,-1
135,25.236526,23.523432,False,True,-1
136,3.8424163,-41.439407,False,True,-1
137,-29.069212,25.150713,False,True,-1
138,-20.299166,-23.00778,False,True,-1
139,-14.852371,-20.249306,False,True,-1
140,1.9931374,-47.28253,False,True,-1
141,49.03627,-9.867163,False,True,-1
142,50.58476,-6.3593593,False,True,-1
143,52.74051,-0.37825638,False,True,-1
144,-28.731441,7.891074,False,True,-1
145,-6.893525,10.709515,False,True,-1
146,1.0566807,-43.479298,False,True,-1
147,-10.651766,6.270608,False,True,-1
148,24.413893,0.93687767,False,True,-1
149,22.252186,13.2636,False,True,-1
150,-12.784845,4.160063,False,True,-1
151,23.840559,2.9430118,False,True,-1
152,-7.697006,24.975729,False,True,-1
153,-44.844692,-11.022798,False,True,-1
154,-19.722195,-22.91595,False,True,-1
155,22.21284,12.441273,False,True,-1
156,-6.653913,36.391438,False,True,-1
157,-45.127647,-9.996488,False,True,-1
158,-13.440601,-19.281015,False,True,-1
159,-16.16552,40.849792,False,True,-1
160,-22.501951,35.899292,False,True,-1
161,-6.84928,25.254173,False,True,-1
162,23.940245,-4.83221,True,False,0
163,56.88943,10.500208,True,False,3
164,-7.8373423,-17.730549,True,False,5
165,24.614155,-2.4274378,True,False,0
166,-4.828896,-54.55099,True,False,1
167,55.27944,2.2594838,True,False,3
168,24.770193,-4.3587446,True,False,0
169,22.454746,7.3478794,True,False,0
170,53.004147,1.7274061,True,False,3
171,-18.329094,36.968616,False,True,-1
172,-15.6569195,-19.792278,False,True,-1
173,22.099258,11.519374,False,True,-1
174,27.217085,25.176956,False,True,-1
175,51.797813,-5.099883,False,True,-1
176,-7.123878,-17.183659,False,True,-1
177,10.549805,-47.599056,False,True,-1
178,-21.42029,35.425587,False,True,-1
179,-5.6913896,25.279058,False,True,-1
180,58.629097,16.409899,False,True,-1
181,-7.9369826,10.573916,False,True,-1
182,-27.794266,17.601097,False,True,-1
183,-10.662453,5.3405886,False,True,-1
184,-27.420193,13.193154,False,True,-1
185,0.10917865,-16.971067,False,True,-1
186,-11.577825,3.6106548,False,True,-1
187,-10.387542,-56.419365,False,True,-1
188,-3.4941971,-55.23836,False,True,-1
189,-3.0419827,31.009922,False,True,-1
190,3.2567315,-42.662422,False,True,-1
191,-5.78423,-17.069672,False,True,-1
192,8.828766,-45.617958,False,True,-1
193,24.574875,17.776995,False,True,-1
194,1.2508023,-48.45936,False,True,-1
195,26.354239,24.73817,False,True,-1
196,-20.809795,35.134525,False,True,-1
197,-2.4653826,-16.922304,False,True,-1
198,-7.1425214,9.976305,False,True,-1
199,-0.67109317,-16.143173,False,True,-1
200,-27.789824,23.761372,False,True,-1
201,-8.763477,9.247356,False,True,-1
202,0.12505122,-16.746658,False,True,-1
203,-29.315138,26.621275,False,True,-1
204,-11.055444,-56.731346,False,True,-1
205,-28.061,14.285208,False,True,-1
206,-1.2149981,-52.324806,False,True,-1
207,-23.765148,-25.716614,False,True,-1
208,-45.958714,-9.147303,False,True,-1
209,-28.908094,26.943768,False,True,-1
210,26.731556,26.484516,False,True,-1
211,-5.8095617,32.132645,False,True,-1
212,-3.9878001,25.20254,False,True,-1
213,48.91946,-10.660899,False,True,-1
214,50.954372,-7.868957,False,True,-1
215,52.850536,-1.595347,False,True,-1
216,11.485723,-17.117828,True,False,5
217,-26.726889,6.385684,True,False,4
218,-7.6427536,12.128162,True,False,2
219,11.416889,-16.804945,True,False,5
220,-27.736616,7.9763856,True,False,4
221,-27.954899,17.875542,True,False,4
