8,211,202,4,0
109,10,205,1,0
3,177,163,3,0
109,231,147,5,0
109,228,152,5,0
70,162,123,0,0
96,14,202,1,0
2,194,159,3,0
3,192,163,3,0
83,6,171,-1,0
90,9,165,-1,0
24,217,161,-1,0
3,200,129,-1,0
80,14,166,-1,0
68,154,102,-1,0
25,235,165,-1,0
110,215,122,-1,0
83,6,167,-1,0
69,129,125,-1,0
25,214,198,-1,0
2,206,160,-1,0
9,238,200,-1,0
25,242,197,-1,0
70,150,126,-1,0
8,231,203,-1,0
2,196,160,-1,0
109,225,154,-1,0
110,215,123,-1,0
110,199,123,-1,0
69,146,101,-1,0
8,229,166,-1,0
8,227,164,-1,0
8,227,164,-1,0
8,232,168,-1,0
2,197,132,-1,0
8,223,168,-1,0
24,211,198,-1,0
25,225,198,-1,0
116,17,215,-1,0
8,241,199,-1,0
2,212,156,-1,0
90,8,199,-1,0
71,149,126,-1,0
110,210,157,-1,0
2,190,161,-1,0
110,213,126,-1,0
25,217,162,-1,0
24,212,161,-1,0
67,45,108,-1,0
70,161,100,-1,0
96,8,165,-1,0
110,217,126,-1,0
25,235,164,-1,0
69,150,106,-1,0
69,172,106,0,1
110,213,133,5,1
1,180,152,3,1
110,219,135,5,1
69,180,113,0,1
96,7,187,1,1
25,235,177,2,1
110,213,139,5,1
109,210,145,5,1
83,6,160,-1,1
110,214,113,-1,1
83,6,159,-1,1
8,225,162,-1,1
8,235,153,-1,1
25,221,156,-1,1
8,231,158,-1,1
68,169,93,-1,1
2,199,122,-1,1
2,193,147,-1,1
25,208,189,-1,1
110,229,147,-1,1
2,218,142,-1,1
2,212,146,-1,1
70,153,120,-1,1
8,222,194,-1,1
69,154,120,-1,1
96,13,200,-1,1
3,207,119,-1,1
7,217,154,-1,1
25,212,152,-1,1
25,232,154,-1,1
80,10,159,-1,1
83,7,148,-1,1
67,163,97,-1,1
2,205,123,-1,1
110,213,120,-1,1
25,206,190,-1,1
70,138,124,-1,1
25,226,193,-1,1
2,207,148,-1,1
26,229,189,-1,1
101,10,196,-1,1
69,160,121,-1,1
98,14,199,-1,1
9,228,198,-1,1
67,149,95,-1,1
8,217,153,-1,1
7,216,156,-1,1
2,200,130,-1,1
110,215,115,-1,1
25,222,156,-1,1
110,214,121,-1,1
8,222,163,-1,1
83,6,161,-1,1
108,21,209,1,2
25,223,198,2,2
8,226,203,4,2
70,166,118,0,2
26,238,194,2,2
26,234,193,2,2
110,199,157,5,2
103,20,205,1,2
109,224,156,5,2
24,220,167,-1,2
8,220,160,-1,2
8,224,163,-1,2
109,208,124,-1,2
110,220,125,-1,2
25,225,163,-1,2
25,232,166,-1,2
9,228,169,-1,2
87,13,171,-1,2
3,180,156,-1,2
2,175,155,-1,2
8,217,207,-1,2
69,155,121,-1,2
69,166,121,-1,2
109,219,157,-1,2
25,234,195,-1,2
109,208,156,-1,2
2,185,162,-1,2
83,6,168,-1,2
3,195,128,-1,2
3,195,127,-1,2
8,228,161,-1,2
8,228,161,-1,2
25,230,163,-1,2
25,236,163,-1,2
3,204,127,-1,2
2,195,129,-1,2
69,128,126,-1,2
83,5,188,-1,2
8,216,210,-1,2
69,166,119,-1,2
2,212,155,-1,2
8,234,208,-1,2
69,155,123,-1,2
69,150,126,-1,2
90,11,205,-1,2
110,214,118,-1,2
83,6,165,-1,2
69,145,100,-1,2
36,8,165,-1,2
80,9,165,-1,2
109,202,121,-1,2
67,153,107,-1,2
3,199,132,-1,2
109,213,125,-1,2
2,179,157,3,3
70,134,129,0,3
103,12,209,1,3
9,229,201,4,3
109,229,149,5,3
98,15,208,1,3
25,228,198,2,3
25,222,201,2,3
9,221,210,4,3
3,197,128,-1,3
2,193,126,-1,3
3,193,127,-1,3
109,219,119,-1,3
80,9,165,-1,3
2,196,125,-1,3
55,8,167,-1,3
2,199,131,-1,3
67,154,102,-1,3
25,213,192,-1,3
25,214,194,-1,3
8,215,204,-1,3
101,10,196,-1,3
26,239,194,-1,3
98,14,201,-1,3
25,231,193,-1,3
83,8,188,-1,3
109,205,154,-1,3
110,211,116,-1,3
110,214,118,-1,3
68,143,98,-1,3
3,201,132,-1,3
8,231,161,-1,3
25,228,161,-1,3
83,6,165,-1,3
8,231,160,-1,3
8,224,164,-1,3
68,127,122,-1,3
8,225,197,-1,3
110,215,154,-1,3
25,239,191,-1,3
2,213,152,-1,3
69,157,119,-1,3
109,208,148,-1,3
110,207,151,-1,3
70,149,126,-1,3
2,204,125,-1,3
68,148,99,-1,3
7,217,161,-1,3
8,228,161,-1,3
70,165,96,-1,3
110,211,117,-1,3
66,9,165,-1,3
69,166,98,-1,3
25,225,162,-1,3
70,147,126,0,4
